condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align010,0.1,1,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9491438143461688,0.47896073743375195,0.6976545663132921,0.48672189389778775,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,1,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.952791579513892,0.4783150089246012,0.6976471611241023,0.48671156142451916,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,1,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9454960491784455,0.47960646594290274,0.6976619714238811,0.48673222637105634,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,2,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9264873297417628,0.4599944680412176,0.6800019303951604,0.46240262534114457,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,2,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9278921596705914,0.4736335366511073,0.6953274852497621,0.48348031174375805,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,2,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9250824998129343,0.4463553994313279,0.6643229176677041,0.44132493893853114,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,3,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,1.0333199189363238,0.5375691688081299,0.763131047225853,0.582368995240027,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,3,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0283162341357523,0.5460687629921015,0.7704652876377525,0.5936167594547247,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,3,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0383236037368953,0.5290695746241584,0.755725632108194,0.5711212310253294,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,4,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8554181451502012,0.49195968187254757,0.72581614591676,0.5268090776734594,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,4,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8509797185744397,0.4953594697717251,0.7270361162170257,0.5285815142839365,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
